rt,acc,subject,word,priming_effect,speech_isochrony,syllable_number
1023.7610999999999,0,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,dolphin,consistent,original,disyllabic
961.8406,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,jellyfish,consistent,original,trisyllabic
1179.7078000000001,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,penguin,inconsistent,original,disyllabic
1272.5614,0,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,canary,consistent,original,trisyllabic
807.3831,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,donkey,consistent,original,disyllabic
935.8211,0,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,turtle,consistent,original,disyllabic
1047.7046,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,kangaroo,consistent,original,trisyllabic
1238.3164,1,314-huangweishun_linguistic_rhythm_priming_2023-03-14_15h17.25.567.csv,mosquito,consistent,original,trisyllabic
1269.1578,1,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,gorilla,consistent,original,trisyllabic
965.8389,0,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,canary,consistent,original,trisyllabic
990.9825,1,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,donkey,inconsistent,original,disyllabic
1100.9671,0,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,octopus,inconsistent,original,trisyllabic
1002.0494,1,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,antelope,inconsistent,original,trisyllabic
1461.5271,0,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,spider,consistent,original,disyllabic
937.4367,0,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,mosquito,inconsistent,original,trisyllabic
1008.2876000000001,0,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,antelope,consistent,original,trisyllabic
1159.0906,1,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,penguin,consistent,original,disyllabic
1163.9324,1,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,seahorse,inconsistent,original,disyllabic
806.1665,1,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,pigeon,consistent,original,disyllabic
1214.9767,0,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,giraffe,consistent,original,disyllabic
989.5015000000001,1,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,turtle,consistent,original,disyllabic
1514.0991999999999,1,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,ladybug,consistent,original,trisyllabic
1008.1656000000002,1,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,dinosaur,consistent,original,trisyllabic
1045.6648,1,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,donkey,consistent,original,disyllabic
1179.2897,1,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,gorilla,inconsistent,original,trisyllabic
837.7527,1,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,seahorse,consistent,original,disyllabic
1055.7136,0,314-weiningjing_linguistic_rhythm_priming_2023-03-14_15h01.30.195.csv,parrot,consistent,original,disyllabic
